102171	cappella Piscicelli	base/ref_to	 300233 (cappella S. Maria di Mezzagosto in vico Scassacocchi)	2:178; 1:379,384
102173	cappella Polveriera	base		10:501
102176	cappella Pontano	base		1:197,201,204n
102187	cappella Presentazione di Maria	ref_to	101995 (chiesa S. Pacifico)	2:158
102197	cappella Purgatorio	ref_to	302197 (chiesetta S. Croce delle Anime Purganti)	2:494n
102200	cappella Purificazione di Maria	base		1:155n
102199	cappella Purificazione di Maria SS. dei nobili dottori	base		2:166,172
102191	cappella Purità all'Arena	base		5:143,146,165
102216	cappella Ravaschieri	base		8:229,237,260
102222	cappella Refugium peccatorum	ref_to	101261 (cappella S. Maria Refugium Peccatorum)	2:372,375
102243	cappella Rimedio	ref_to	102556 (congregazione SS. Vergine del Rosario)	3:250,252
102272	cappella Rosario	base/ref_to	 101134 (cappella Madonna del Rosario)	9:279,350,351; 3:35
100019	cappella S. Agapito	base		2:332,345n
100030	cappella S. Agata in vico Loffredi	base		1:462
100031	cappella S. Agata in vico S. Pellegrino	base		1:210,219n
100036	cappella S. Agnello de Costantinis al Vicus Frigidum	base		1:440,450n
100040	cappella S. Agnello in vico Zite	base		1:380,387n
100043	cappella S. Agnese	base		3:124,182n,325,338
100064	cappella S. Alberto	base		2:34
100098	cappella S. Andrea	ref_to	102351 (chiesa Scorziata)	1:230
100085	cappella S. Andrea dei Gattoli	base		2:332,334,336,337
100087	cappella S. Andrea del Dattilo	ref_to	300087 (chiesa S. Andrea dei Gattoli)	2:345n
100123	cappella S. Angelo	base		1:235		N943 (cappella S. Agnello) 
100114	cappella S. Angelo de Cicinis	base		2:196
100115	cappella S. Angelo de' Mosconibus	ref_to	101392 (cappella S. Maria dei Mosconi)	1:362n
100118	cappella S. Angelo dei Carmignani	base		2:146,147,162n
301861	cappella S. Angelo dei Cormignani	ref_target		2:162n
100120	cappella S. Angelo della Stella	base		1:251
100124	cappella S. Angelo presso la Porta Ventosa	base		1:170n
100151	cappella S. Anna	base/ref_to	 100160 (chiesa Annunziata)	1:235,236,242n; 2:222,223
100138	cappella S. Anna al Petraio	base		7:549
100197	cappella S. Antonio	base		1:181,194n
100175	cappella S. Antonio Abate	base		2:196,203; 3:182n,192; 4:169,178
100196	cappella S. Antonio da Padova	base/ref_to	 101171 (cappella S. Marco dei Tessitori)	6:351,372,; 5:437
100192	cappella S. Antonio da Padova, nel chiostro dell'Ospedaletto	base		2:4,5
100203	cappella S. Apostolo	ref_to	101073 (chiesa S. Lorenzo Maggiore)	3:118
100241	cappella S. Attanasio	base		1:250,270n
100251	cappella S. Barbara	ref_to	100145 (chiesa S. Anna dei Remolari)	2:427		N44 (cappella S. Barbara) 
100247	cappella S. Barbara de Cicinis	base		2:147,148
100288	cappella S. Bernardo	ref_to	100875 (chiesa S. Giorgio dei Genovesi)	3:414,421
100294	cappella S. Biagio	base		2:82,90
100333	cappella S. Candida	base		2:191,194
100355	cappella S. Carlo	ref_to	100142 (chiesa S. Anna dei Lombardi)	3:
100412	cappella S. Caterina	base		1:156,168,169,170,170n; 4:148; 5:58,59; 9:561		N577 (cappella S. Caterina) 
100380	cappella S. Caterina Spina Corona	base		2:373
100384	cappella S. Caterina Vergine e Martire	ref_to	100403 (cappella S. Caterina dei Severini)	2:402,409
100395	cappella S. Caterina al Pallonetto	ref_to	100412 (cappella S. Caterina)	1:170n
100399	cappella S. Caterina de' Celani	ref_to	100412 (cappella S. Caterina)	1:169,170n
100400	cappella S. Caterina de' Silicis	ref_to	300400 (cappella SS. Salvatore)	1:201
100402	cappella S. Caterina dei Rossi	base		2:33
100403	cappella S. Caterina dei Severini	base		2:408,409; 3:363,369n
100406	cappella S. Caterina dell'Impresa	ref_to	100412 (cappella S. Caterina)	1:170n
100423	cappella S. Cecilia	base		4:218
100418	cappella S. Cecilia Vergine e Madre	base		2:128,130,135
100442	cappella S. Chirico	base		2:333
